NO,Method del, Method add, project support, commit support
33,-java.io.File.mkdir() ,+java.io.File.mkdirs() ,9,10,
110,-org.apache.logging.log4j.Logger.warn() ,+org.apache.logging.log4j.Logger.debug() ,3,10,
124,-null.createPopup() ,+null.getRelatedItemsPopup() ,1,11,
149,-java.lang.Class.getMethod() ,+java.lang.Class.getDeclaredMethod() ,6,11,
181,-java.util.Arrays.equals() ,+java.security.MessageDigest.isEqual() ,5,11,
195,-com.jgoodies.forms.layout.CellConstraints.xyw() ,+com.jgoodies.forms.layout.CellConstraints.xy() ,1,11,
199,-org.apache.pdfbox.cos.COSArray.get() ,+org.apache.pdfbox.cos.COSArray.getObject() ,1,12,
223,-JSONObjectParser.parseEventTarget() ,+JSONObjectParser.parseEventTargetObject() ,1,12,
224,-InterfaceAudience.Public() ,+InterfaceAudience.Private() ,2,12,
250,-null.assertNotNull() ,+null.assertPostParamNotNull() ,1,11,
269,-java.lang.Class.newInstance() ,+java.lang.Class.getConstructor() +java.lang.reflect.Constructor.newInstance() ,8,10,
309,-null.getBytes() ,+null.getOctets() ,1,12,
322,-java.util.Map.get() ,+java.util.Map.getOrDefault() ,9,11,
334,-org.apache.pdfbox.pdmodel.common.PDStream.getStream() ,+org.apache.pdfbox.pdmodel.common.PDStream.getCOSObject() ,1,14,
344,-null.getWithCol() ,+null.get() ,1,13,
347,-null.getConfigurationLegacy() ,+null.getConfiguration() ,1,14,
348,-null.getBoolean() -null.getConfigurationLegacy() ,+null.getConfiguration() ,1,10,
355,-java.sql.ResultSetMetaData.getColumnName() ,+java.sql.ResultSetMetaData.getColumnLabel() ,9,13,
368,-null.toString() ,+null.toStringBinary() ,2,12,
395,-org.slf4j.Logger.isInfoEnabled() ,+org.slf4j.Logger.isDebugEnabled() ,9,11,
427,-org.apache.logging.log4j.Logger.error() ,+org.apache.logging.log4j.Logger.warn() ,1,11,
444,-net.i2p.util.Log.warn() ,+net.i2p.util.Log.info() ,1,14,
461,-null.equal() ,+java.util.Objects.equals() ,6,10,
464,-java.util.LinkedList.size() ,+java.util.LinkedList.isEmpty() ,6,15,
536,-java.util.Optional.orElse() ,+java.util.Optional.orElseGet() ,6,12,
539,-java.util.Map.put() ,+java.util.Map.computeIfAbsent() ,9,11,
540,-java.util.Map.get() ,+java.util.Map.computeIfAbsent() ,10,11,
544,-java.lang.Class.forName() ,+java.lang.ClassLoader.loadClass() ,6,15,
548,-org.apache.logging.log4j.Logger.info() ,+org.apache.logging.log4j.Logger.debug() ,3,13,
612,-java.io.PrintStream.println() ,+null.println() ,1,13,
629,-org.apache.log4j.Logger.info() ,+org.apache.log4j.Logger.debug() ,10,18,
638,-org.apache.commons.logging.Log.debug() ,+org.apache.commons.logging.Log.trace() ,7,12,
651,-java.io.File.exists() ,+java.io.File.isFile() ,5,10,
674,-java.lang.System.nanoTime() ,+java.lang.System.currentTimeMillis() ,5,16,
682,-java.lang.String.replaceAll() ,+java.util.regex.Matcher.replaceAll() +java.util.regex.Pattern.matcher() ,11,13,
689,-org.apache.pdfbox.cos.COSStream.getUnfilteredStream() ,+org.apache.pdfbox.cos.COSStream.createInputStream() ,1,25,
695,-java.lang.System.arraycopy() ,+java.util.Arrays.copyOf() ,6,11,
701,-net.i2p.util.Log.error() ,+net.i2p.util.Log.shouldLog() +net.i2p.util.Log.warn() ,1,11,
707,-org.apache.log.Logger.info() ,+org.apache.log.Logger.debug() ,1,20,
710,-null.commit() ,+null.apply() ,6,14,
716,-org.slf4j.Logger.isDebugEnabled() ,+org.slf4j.Logger.isTraceEnabled() ,10,11,
750,-java.lang.Class.getCanonicalName() ,+java.lang.Class.getName() ,8,12,
756,-null.e() ,+null.i() ,5,15,
759,-org.apache.commons.logging.Log.error() ,+org.apache.commons.logging.Log.warn() ,9,14,
761,-java.util.logging.Logger.info() ,+java.util.logging.Logger.fine() ,12,18,
769,-java.util.List.add() ,+java.util.Collections.addAll() ,9,12,
774,-null.split() ,+java.lang.String.split() ,11,12,
778,-java.util.Set.size() ,+java.util.Set.isEmpty() ,10,15,
789,-java.lang.System.currentTimeMillis() ,+java.lang.System.nanoTime() ,12,26,
802,-org.slf4j.Logger.debug() -org.slf4j.Logger.isDebugEnabled() ,+org.slf4j.Logger.trace() ,8,10,
806,-java.lang.Thread.currentThread() -java.lang.Thread.getContextClassLoader() ,+java.lang.Class.getClassLoader() ,8,11,
831,-java.lang.Boolean.valueOf() ,+java.lang.Boolean.parseBoolean() ,9,17,
834,-java.util.logging.Logger.warning() ,+java.util.logging.Logger.fine() ,4,17,
841,-java.lang.Class.newInstance() ,+java.lang.Class.getDeclaredConstructor() ,13,26,
842,-java.lang.Class.newInstance() ,+java.lang.Class.getDeclaredConstructor() +java.lang.reflect.Constructor.newInstance() ,12,25,
852,-java.util.Map.get() ,+java.util.Map.remove() ,11,19,
856,-org.apache.commons.logging.Log.debug() ,+org.apache.commons.logging.Log.info() ,6,15,
861,-java.lang.Class.equals() ,+java.lang.Class.isAssignableFrom() ,10,17,
864,-java.util.Optional.get() ,+java.util.Optional.map() ,8,10,
876,-java.lang.Class.newInstance() ,+java.lang.reflect.Constructor.newInstance() ,20,35,
879,-null.equalsIgnoreCase() ,+java.lang.String.equalsIgnoreCase() ,12,18,
883,-java.lang.StringBuffer.append() ,+java.lang.StringBuilder.append() ,12,22,
890,-java.io.File.toURL() ,+java.io.File.toURI() +java.net.URI.toURL() ,13,35,
894,-java.lang.String.replace() ,+java.lang.String.replaceFirst() ,11,15,
900,-java.lang.Math.min() ,+java.lang.Math.max() ,11,15,
909,-Nullable() ,+NonNull() ,4,30,
916,-null.debug() ,+null.trace() ,9,33,
933,-java.util.Optional.of() ,+java.util.Optional.ofNullable() ,18,27,
952,-org.slf4j.Logger.trace() ,+org.slf4j.Logger.debug() ,12,31,
962,-java.lang.Long.valueOf() ,+java.lang.Long.parseLong() ,6,20,
967,-org.apache.commons.logging.Log.warn() ,+org.apache.commons.logging.Log.debug() ,13,29,
972,-java.util.Map.keySet() ,+java.util.Map.entrySet() ,22,35,
973,-java.util.Map.keySet() ,+java.util.Map$Entry.getKey() +java.util.Map.entrySet() ,17,22,
975,-java.util.Map.keySet() ,+java.util.Map$Entry.getValue() +java.util.Map.entrySet() ,16,20,
976,-java.util.Map.get() -java.util.Map.keySet() ,+java.util.Map$Entry.getValue() +java.util.Map.entrySet() ,14,18,
977,-java.util.Map.keySet() ,+java.util.Map$Entry.getKey() +java.util.Map$Entry.getValue() +java.util.Map.entrySet() ,14,17,
978,-java.util.Map.get() -java.util.Map.keySet() ,+java.util.Map$Entry.getKey() +java.util.Map$Entry.getValue() +java.util.Map.entrySet() ,12,15,
985,-java.lang.String.equalsIgnoreCase() ,+java.lang.String.contains() ,5,10,
989,-java.util.List.add() ,+java.util.List.addAll() ,16,17,
998,-org.slf4j.Logger.info() ,+org.slf4j.Logger.debug() +org.slf4j.Logger.isDebugEnabled() ,12,16,
